# Format:
# NumThreads NumTrapezes : IntegralValue ElapsedTime
0 16 : 4.50276 0.00204132ms
1 16 : 4.50276 14.5829ms
2 16 : 4.50276 9.85811ms
3 16 : 4.50276 7.7366ms
4 16 : 4.50276 7.67477ms
5 16 : 4.50276 8.58345ms
6 16 : 4.50276 8.35745ms
7 16 : 4.50276 10.1249ms
8 16 : 4.50276 8.06175ms
0 8 : 4.57527 0.00233293ms
1 8 : 4.57527 8.11132ms
2 8 : 4.57527 5.98106ms
3 8 : 4.57527 6.01664ms
4 8 : 4.57527 6.9087ms
5 8 : 4.57527 7.0965ms
6 8 : 4.57527 7.33183ms
7 8 : 4.57527 7.91886ms
8 8 : 4.57527 6.97198ms
8 8 : 0.75 8.95964ms
7 8 : 0.75 6.16624ms
7 8 : 0.75 7.86345ms
7 8 : 0.75 6.83171ms
8 8 : 0.75 7.03584ms
8 8 : 0.75 6.97956ms
8 8 : 0.75 8.80041ms
8 8 : 0.75 6.80896ms
8 8 : 0.75 7.61441ms
8 8 : 0.75 7.11399ms
0 128 : 4.43796 0.00641557ms
0 1024 : 4.42977 0.0475335ms
0 1048576 : 4.42558 53.4327ms
2 1048576 : 2.55361 15095.4ms
2 8 : 4.57527 9065.98ms
3 8 : 4.57527 6.78242ms
8 1048576 : 1.59798 25.3313ms
0 1048576 : 5.72205e-006 0ms
0 1048576 : 4.42558 3551.4ms
8 1048576 : 1.65768 27.789ms
8 1048576 : 0.694532 68.3661ms
8 1048576 : 0.795874 2526.55ms
8 1048576 : 0.691841 68.3156ms
8 1048576 : 5.72205e-006 182.697ms
8 1048576 : 4.42859 9845.28ms
0 1048576 : 4.42558 363.651ms
0 1048576 : 4.42558 364.418ms
0 1048576 : 4.42558 318.8ms
8 1048576 : 4.42863 7.39949ms
